State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Peas & beans (Pulses)),,1027,1100,1.07,1065,1200,1.13,1113,1300,1.17,994,1100,1.11,716,800,1.12,1048,1200,1.15,969,1200,1.24,1040,1200,1.15,869,900,1.04,1651,1600,0.97,3007,2200,0.73,1153,1000,0.87,1114,1524,1.37,16400,110124,6.71,16103,106300,6.6,15876,113111,7.12,18025,110018,6.1,17259,137277,7.95,19728,149171,7.56,16712,182237,10.9,3491,4754,1.36,4839,5959.7,1.23,,,0
23. Rapeseed &Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Ambala,Rabi,1402,1000,0.71,965,1000,1.04,1760,2000,1.14,1198,1000,0.83,1508,2000,1.33,2237,2000,0.89,1909,3000,1.57,877,,0,1030,1000,0.97,,,,1190,4000,3.36,1282,1600,1.25,1406,2500,1.78,1000,2000,2,1000,1000,1,1000,2000,2,1000,1400,1.4,1800,3800,2.11,2000,4100,2.05,2000,3400,1.7,2390,4830,2.02,6073,10870.67,1.79,6920,12110,1.75
2. Bhiwani,Rabi,108920,132000,1.21,133527,183000,1.37,141780,164000,1.16,177557,277000,1.56,182924,198000,1.08,178999,200000,1.12,160303,206000,1.29,137442,143000,1.04,139801,214000,1.53,,,,137885,238000,1.73,169808,204000,1.2,162459,265100,1.63,155000,235000,1.52,132000,185000,1.4,154000,225000,1.46,160000,272800,1.71,120000,222000,1.85,129900,236400,1.82,142300,215400,1.51,169600,294600,1.74,169596,297810.58,1.76,171430,228980,1.34
3. Charki dadri,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800,100200,1.9,54300,114000,2.1,61700,107200,1.74,62200,150700,2.42,77252,148169.34,1.92,76630,79170,1.03
4. Faridabad,Rabi,3801,6000,1.58,4554,9000,1.98,6452,9000,1.39,5532,9000,1.63,5203,6000,1.15,4925,8000,1.62,4220,6000,1.42,3490,5000,1.43,845,2000,2.37,,,,935,2000,2.14,746,2000,2.68,590,1000,1.69,1000,2000,2,,,,,,,200,400,2,400,800,2,600,1100,1.83,600,1000,1.67,600,1000,1.67,1796,3552.49,1.98,1730,3070,1.77
5. Fatehabad,Rabi,11838,18000,1.52,16932,24000,1.42,19643,21000,1.07,16944,28000,1.65,16695,19000,1.14,17641,26000,1.47,13551,20000,1.48,7180,10000,1.39,8751,15000,1.71,,,,10336,21000,2.03,8803,17000,1.93,11965,19000,1.59,12000,22000,1.83,12000,18000,1.5,14000,19000,1.36,14100,23200,1.65,14700,28300,1.93,17700,37500,2.12,18500,32300,1.75,20100,36400,1.81,23710,42915.1,1.81,23050,40470,1.76
6. Gurgaon,Rabi,32106,48000,1.5,57046,90000,1.58,59622,75000,1.26,51568,72000,1.4,63692,74000,1.16,23713,30000,1.27,19566,24000,1.23,15575,20000,1.28,13930,27000,1.94,,,,12250,22000,1.8,12505,24000,1.92,14186,28000,1.97,13000,21000,1.62,10000,13000,1.3,10000,17000,1.7,9600,19200,2,14600,34000,2.33,14800,33100,2.24,18500,43800,2.37,19100,43400,2.27,28619,56894.57,1.99,24080,46990,1.95
7. Hisar,Rabi,33038,46000,1.39,50712,84000,1.66,60263,72000,1.19,64785,99000,1.53,71211,81000,1.14,73633,59100,0.8,57792,87000,1.51,46058,51000,1.11,51289,90200,1.76,,,,70207,141000,2.01,59725,102000,1.71,61966,102800,1.66,69000,112000,1.62,67000,99000,1.48,68000,123000,1.81,64600,120000,1.86,67700,148700,2.2,76000,162500,2.14,74400,135400,1.82,73500,139520,1.9,107032,205715.5,1.92,108120,208520,1.93
8. Jhajjar,Rabi,23649,38000,1.61,31127,49000,1.57,42309,49000,1.16,43152,64000,1.48,55470,73000,1.32,56448,48000,0.85,41170,54000,1.31,34765,43000,1.24,35301,65000,1.84,,,,27132,48000,1.77,29079,46000,1.58,35519,59000,1.66,31000,48000,1.55,22000,29000,1.32,24000,38000,1.58,22200,51700,2.33,29300,62200,2.12,31200,64100,2.05,30300,63700,2.1,33700,70200,2.08,48026,96003.97,2,35540,71220,2
