State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. East siang,Kharif,2740,5253,1.92,800,1000,1.25,2760,5330,1.93,2718,5350,1.97,2760,5401,1.96,2845,5570,1.96,2883,6444,2.24,2900,5348,1.84,2900,6491,2.24,3089,7908,2.56,3243,8303,2.56,3346,8789,2.63,4050,8100,2,4188,8231,1.97,4252,8633,2.03,3016,6043,2,3091,6054,1.96,3116,6142,1.97,2119,4197,1.98,2123,4250,2,2125,4294,2.02,2425,4899,2.02,2439,4929,2.02
6. Kamle,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,998,1.97,511,1051,2.06,513,1095,2.13,543,1140,2.1,565,1188,2.1
7. Kra daadi,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,299,1.45,281,310,1.1,306,398,1.3,315,435,1.38,319,488,1.53,321,532,1.66,326,538,1.65,348,575,1.65
8. Kurung kumey,Kharif,,,,,,,1450,1840,1.27,1350,1714,1.27,1350,1714,1.27,1470,1870,1.27,1600,2159,1.35,500,750,1.5,500,750,1.5,500,750,1.5,550,793,1.44,568,839,1.48,570,843,1.48,134,197,1.47,134,197,1.47,134,197,1.47,209,208,1,234,296,1.26,243,333,1.37,247,386,1.56,249,430,1.73,254,437,1.72,278,479,1.72
9. Leparada,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,810,1.53,532,854,1.61,572,958,1.67,587,984,1.68
10. Lohit,Kharif,8680,8732,1.01,5800,8120,1.4,9041,10126,1.12,9058,9964,1.1,4657,5123,1.1,7440,8481,1.14,8023,11221,1.4,8325,8855,1.06,8585,10044,1.17,8596,10315,1.2,9960,12114,1.22,10278,12823,1.25,10340,12218,1.18,10325,12348,1.2,10390,12850,1.24,4156,5140,1.24,4231,5151,1.22,4256,5239,1.23,4265,5276,1.24,4269,5329,1.25,4271,5373,1.26,4530,5708,1.26,4543,5733,1.26
11. Longding,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,3506,2.29,1595,3900,2.45,1609,3935,2.45,1684,3946,2.34,1706,4034,2.36,1715,4071,2.37,1719,4124,2.4,1721,4168,2.42,1821,4370,2.4,1842,4424,2.4
12. Lower dibang valley,Kharif,,,,,,,5400,8910,1.65,5450,9810,1.8,5500,9365,1.7,5600,9520,1.7,7500,9745,1.3,7680,9984,1.3,7726,10044,1.3,7803,10144,1.3,7885,10251,1.3,8137,10852,1.33,8090,10517,1.3,8199,10589,1.29,8264,11091,1.34,8309,11162,1.34,8384,11173,1.33,8409,11261,1.34,8418,11298,1.34,8428,11360,1.35,8431,11406,1.35,8881,12296,1.38,8890,12322,1.39
13. Lower siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,4177,1.61,2340,3807,1.63,2340,3851,1.65,2540,4166,1.64,2551,4189,1.64
14. Lower subansiri,Kharif,4510,5412,1.2,1000,1750,1.75,3380,4307,1.27,1451,1836,1.27,1596,2011,1.26,1672,2189,1.31,1697,2222,1.31,559,1118,2,570,1123,1.97,620,1221,1.97,625,1231,1.97,645,1303,2.02,646,1305,2.02,650,1333,2.05,715,1735,2.43,760,1806,2.38,835,1817,2.18,860,1905,2.22,582,1289,2.21,586,1342,2.29,588,1386,2.36,598,1399,2.34,614,1438,2.34
15. Namsai,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6234,7710,1.24,6309,7721,1.22,6334,7809,1.23,6343,7846,1.24,6353,7899,1.24,6355,7943,1.25,6855,8569,1.25,6867,8597,1.25
16. Pakke kessang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,1289,1.5,859,1333,1.55,869,1331,1.53,883,1370,1.55
17. Papum pare,Kharif,1950,2356,1.21,2145,2591,1.21,2240,2700,1.21,2093,2833,1.35,2400,3240,1.35,2500,3497,1.4,2500,4500,1.8,2400,4320,1.8,2000,3700,1.85,2200,4400,2,2207,4193,1.9,2278,4438,1.95,2196,4557,2.08,2325,4766,2.05,2398,5268,2.2,2443,4339,1.78,2518,4350,1.73,2543,4438,1.75,2552,4475,1.75,2556,4528,1.77,2558,4572,1.79,2728,4856,1.78,2747,4895,1.78
18. Shi yomi,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,348,1.43,245,392,1.6,255,478,1.87,294,553,1.88
