State/Crop/District,Season,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Chatra,Rabi,,,,,,,,,,419.54,3246.4,7.74,567.79,3576,6.3,480.55,3551,7.39,295.74,2546,8.61,399,2339,5.86,553,1971,3.56,448,3172,7.08,345,2871,8.32,368,2367,6.43,239,1929,8.07,279,540,1.94,553,3618,6.54,,,,,,,,,,202,924,4.57,,,,,,
,Winter,,,,,,,991.19,7032.493,7.09,998.75,16893.86,16.92,1182.04,8047,6.81,1235.03,10783,8.73,990.09,8385,8.47,1136,10113,8.9,,,,1024,8833,8.63,1182,7653,6.47,1202,3301,2.75,955,8443,8.84,1039,9677,9.31,1085,9469,8.73,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,991.19,7032.493,7.09,1418.29,20140.26,14.2,1749.83,11623,6.64,1715.58,14334,8.36,1285.83,10931,8.5,1535,12452,8.11,553,1971,3.56,1472,12005,8.16,1527,10524,6.89,1570,5668,3.61,1194,10372,8.69,1318,10217,7.75,1638,13087,7.99,,,0,,,0,,,0,202,924,4.57,,,0,,,0
3. Deoghar,Rabi,,,,,,,,,,882.09,8139.93,9.23,1106.01,9355,8.46,1123.97,9228,8.21,929.26,3665,3.94,1103,6983,6.33,1224,7705,6.29,1217,7210,5.92,1461,9575,6.55,1461,6896,4.72,1207,5905,4.89,932,7473,8.02,1568,15282,9.75,,,,,,,,,,1044,11763,11.27,,,,,,
,Winter,,,,,,,,,,,,,319.48,2397,7.5,134.76,992,7.36,245.24,1557,6.35,271,1700,6.27,,,,2,18,9,204,1298,6.36,201,2362,11.75,23,170,7.39,598,4123,6.89,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,882.09,8139.93,9.23,1425.49,11752,8.24,1258.73,10220,8.12,1174.5,5222,4.45,1374,8683,6.32,1224,7705,6.29,1219,7228,5.93,1665,10873,6.53,1662,9258,5.57,1230,6075,4.94,1530,11596,7.58,1568,15282,9.75,,,0,,,0,,,0,1044,11763,11.27,,,0,,,0
4. Dhanbad,Rabi,,,,,,,,,,,,,113.22,922,8.14,95.12,806,8.47,107.76,520,4.83,87,221,2.54,88,360,4.09,50,805,16.1,79,410,5.19,80,444,5.55,76,287,3.78,59,242,4.1,53,442,8.34,,,,,,,,,,73,525,7.19,,,,,,
,Winter,,,,,,,,,,,,,29.82,277,9.29,56.17,455,8.1,51.21,368,7.19,42,359,8.55,,,,35,142,4.06,32,140,4.38,32,134,4.19,8,59,7.38,4,37,9.25,2,17,8.5,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,143.04,1199,8.38,151.29,1261,8.33,158.97,888,5.59,129,580,4.5,88,360,4.09,85,947,11.14,111,550,4.95,112,578,5.16,84,346,4.12,63,279,4.43,55,459,8.35,,,0,,,0,,,0,73,525,7.19,,,0,,,0
5. Dumka,Rabi,,,,,,,1163.35,6158.774,5.29,1120.82,11350.54,10.13,1118.04,11075,9.91,1253.46,10525,8.4,1262.78,2691,2.13,3812,24641,6.46,3803,13984,3.68,794,9287,11.7,654,5992,9.16,660,2482,3.76,678,8586,12.66,717,2135,2.98,782,15396,19.69,,,,,,,,,,663,6650,10.03,,,,,,
,Winter,,,,,,,,,,661.68,4337.31,6.55,634.11,6635,10.46,643.91,5275,8.19,832.17,3439,4.13,1143,6983,6.11,,,,1239,14287,11.53,665,3971,5.97,726,8531,11.75,728,6095,8.37,687,4736,6.89,868,11006,12.68,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,1163.35,6158.774,5.29,1782.5,15687.85,8.8,1752.15,17710,10.11,1897.37,15800,8.33,2094.95,6130,2.93,4955,31624,6.38,3803,13984,3.68,2033,23574,11.6,1319,9963,7.55,1386,11013,7.95,1406,14681,10.44,1404,6871,4.89,1650,26402,16,,,0,,,0,,,0,663,6650,10.03,,,0,,,0
6. East singhbum,Rabi,,,,,,,,,,,,,97.13,788,8.11,120.88,401,3.32,106.93,150,1.4,113,604,5.35,27,47,1.74,103,395,3.83,129,222,1.72,166,314,1.89,228,487,2.14,211,805,3.82,11,169,15.36,,,,,,,,,,105,500,4.76,,,,,,
,Winter,,,,,,,,,,,,,10.12,77,7.61,90.29,689,7.63,,,,4,27,6.75,,,,1,3,3,40,109,2.73,22,33,1.5,89,171,1.92,12,83,6.92,14,111,7.93,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,107.25,865,8.07,211.17,1090,5.16,106.93,150,1.4,117,631,5.39,27,47,1.74,104,398,3.83,169,331,1.96,188,347,1.85,317,658,2.08,223,888,3.98,25,280,11.2,,,0,,,0,,,0,105,500,4.76,,,0,,,0
7. Garhwa,Rabi,,,,,,,,,,502,3241.41,6.46,228.1,1490,6.53,232.02,1752,7.55,208.05,1303,6.26,561,4434,7.9,558,3640,6.52,677,4649,6.87,700,5055,7.22,665,4283,6.44,674,3699,5.49,490,3139,6.41,1160,5974,5.15,,,,,,,,,,555,3214,5.79,,,,,,
,Winter,,,,,,,,,,804.43,5799.14,7.21,820.75,5017,6.11,847.67,5880,6.94,855.74,6626,7.74,768,5512,7.18,,,,1147,6946,6.06,1308,7804,5.97,1258,10506,8.35,1378,9827,7.13,972,4419,4.55,860,6167,7.17,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,1306.43,9040.55,6.92,1048.85,6507,6.2,1079.69,7632,7.07,1063.79,7929,7.45,1329,9946,7.48,558,3640,6.52,1824,11595,6.36,2008,12859,6.4,1923,14789,7.69,2052,13526,6.59,1462,7558,5.17,2020,12141,6.01,,,0,,,0,,,0,555,3214,5.79,,,0,,,0
8. Giridih,Rabi,1452.95,18458.27,12.7,1691.08,23776.58,14.06,1639.52,21182.598,12.92,1784.63,24740.33,13.86,196.2,2455,12.51,2522.77,25576,10.14,2696.66,38311,14.21,2345,24944,10.64,2385,15846,6.64,2862,13463,4.7,2809,19141,6.81,2094,3968,1.89,2313,14193,6.14,2820,1910,0.68,3101,21412,6.9,,,,,,,,,,3039,19416,6.39,,,,,,
,Winter,,,,,,,,,,,,,1741.22,24647,14.16,1443.32,20019,13.87,1306.69,16535,12.65,1306,13204,10.11,,,,1341,7139,5.32,1389,9187,6.61,1110,3649,3.29,1076,6553,6.09,1284,8808,6.86,1333,11633,8.73,,,,,,,,,,,,,,,,,,
,Total,1452.95,18458.27,12.7,1691.08,23776.58,14.06,1639.52,21182.598,12.92,1784.63,24740.33,13.86,1937.42,27102,13.99,3966.09,45595,11.5,4003.35,54846,13.7,3651,38148,10.45,2385,15846,6.64,4203,20602,4.9,4198,28328,6.75,3204,7617,2.38,3389,20746,6.12,4104,10718,2.61,4434,33045,7.45,,,0,,,0,,,0,3039,19416,6.39,,,0,,,0
9. Godda,Rabi,,,,,,,,,,679.39,5464.33,8.04,686.35,5396,7.86,719.1,4738,6.59,723.54,5817,8.04,652,6036,9.26,651,4391,6.75,586,3150,5.38,483,2541,5.26,481,2644,5.5,1304,6087,4.67,461,5461,11.85,933,12647,13.56,,,,,,,,,,343,2581,7.52,,,,,,
,Winter,,,,,,,,,,623.67,4790.15,7.68,1013.85,8114,8,735.95,4133,5.62,885.53,8464,9.56,752,4350,5.78,,,,758,3895,5.14,713,3855,5.41,714,8390,11.75,713,5268,7.39,756,5212,6.89,448,5681,12.68,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,1303.06,10254.48,7.87,1700.2,13510,7.95,1455.05,8871,6.1,1609.07,14281,8.88,1404,10386,7.4,651,4391,6.75,1344,7045,5.24,1196,6396,5.35,1195,11034,9.23,2017,11355,5.63,1217,10673,8.77,1381,18328,13.27,,,0,,,0,,,0,343,2581,7.52,,,0,,,0
10. Gumla,Rabi,1118.25,3712.59,3.32,964.11,3865.12,4.01,,,,1036.21,3510.68,3.39,1035.95,4248,4.1,1026.23,6257,6.1,1204.87,5856,4.86,914,5487,6,903,3401,3.77,864,7264,8.41,911,7174,7.87,838,6655,7.94,839,6225,7.42,1080,7173,6.64,7181,54762,7.63,,,,,,,,,,1009,8258,8.18,,,,,,
,Winter,1841.95,10062.57,5.46,2181.33,12586.27,5.77,,,,1889.3,8516.96,4.51,2047.39,7809,3.81,2137.65,9568,4.48,2142.22,14788,6.9,2109,15476,7.34,,,,2277,19468,8.55,2171,18204,8.39,2300,19486,8.47,2281,16145,7.08,2127,15663,7.36,1980,12292,6.21,,,,,,,,,,,,,,,,,,
,Total,2960.2,13775.16,4.65,3145.44,16451.39,5.23,,,0,2925.51,12027.64,4.11,3083.34,12057,3.91,3163.88,15825,5,3347.09,20644,6.17,3023,20963,6.93,903,3401,3.77,3141,26732,8.51,3082,25378,8.23,3138,26141,8.33,3120,22370,7.17,3207,22836,7.12,9161,67054,7.32,,,0,,,0,,,0,1009,8258,8.18,,,0,,,0
11. Hazaribagh,Rabi,2614.12,17744.64,6.79,2310.39,17334.86,7.5,1978.79,14579.724,7.37,1757.1,10843.06,6.17,1868.04,14916,7.98,1958.26,13686,6.99,1258.52,8874,7.05,1205,11269,9.35,1195,11221,9.39,1262,13787,10.92,1280,13709,10.71,1895,14241,7.52,1174,11664,9.94,1178,11258,9.56,1445,14188,9.82,,,,,,,,,,1233,7433,6.03,,,,,,
,Winter,5505.66,42206.38,7.67,4971.07,39768.56,8,5354.95,42009.582,7.84,5110.83,35218.73,6.89,5394.02,44549,8.26,4891.92,28990,5.93,3967.02,22525,5.68,2753,21129,7.67,,,,3988,55557,13.93,3882,38420,9.9,3868,26395,6.82,3864,39312,10.17,3563,33496,9.4,3991,37140,9.31,,,,,,,,,,,,,,,,,,
,Total,8119.78,59951.02,7.38,7281.46,57103.42,7.84,7333.74,56589.306,7.72,6867.93,46061.79,6.71,7262.06,59465,8.19,6850.18,42676,6.23,5225.54,31399,6.01,3958,32398,8.19,1195,11221,9.39,5250,69344,13.21,5162,52129,10.1,5763,40636,7.05,5038,50976,10.12,4741,44754,9.44,5436,51328,9.44,,,0,,,0,,,0,1233,7433,6.03,,,0,,,0
12. Jamtara,Rabi,,,,245.79,793.9,3.23,,,,246.04,1584.99,6.44,248.97,2357,9.47,307.46,2470,8.03,328.16,652,1.99,294,2056,6.99,329,2145,6.52,343,3842,11.2,358,4144,11.58,368,4483,12.18,373,4743,12.72,467,5462,11.7,454,6426,14.15,,,,,,,,,,514,4848,9.43,,,,,,
,Winter,,,,,,,,,,202.49,1306.26,6.45,81.24,539,6.63,147.68,1114,7.54,166.1,634,3.82,132,930,7.05,,,,192,2001,10.42,215,2302,10.71,210,2493,11.87,216,2505,11.6,135,1615,11.96,485,6152,12.68,,,,,,,,,,,,,,,,,,
,Total,,,0,245.79,793.9,3.23,,,0,448.53,2891.25,6.45,330.21,2896,8.77,455.14,3584,7.87,494.26,1286,2.6,426,2986,7.01,329,2145,6.52,535,5843,10.92,573,6446,11.25,578,6976,12.07,589,7248,12.31,602,7077,11.76,939,12578,13.4,,,0,,,0,,,0,514,4848,9.43,,,0,,,0
13. Khunti,Rabi,,,,,,,,,,,,,,,,,,,796.2,3183,4,566,1800,3.18,492,2994,6.09,599,3448,5.76,995,6212,6.24,581,4048,6.97,583,4090,7.02,753,3459,4.59,642,4551,7.09,,,,,,,,,,350,2292,6.55,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,565.12,2611,4.62,729,2593,3.56,,,,612,4078,6.66,839,5594,6.67,1315,9751,7.42,1078,5540,5.14,2057,10960,5.33,1142,7090,6.21,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,1361.32,5794,4.26,1295,4393,3.39,492,2994,6.09,1211,7526,6.21,1834,11806,6.44,1896,13799,7.28,1661,9630,5.8,2810,14419,5.13,1784,11641,6.53,,,0,,,0,,,0,350,2292,6.55,,,0,,,0
14. Koderma,Rabi,,,,,,,,,,264.67,2215.29,8.37,459.09,3909,8.51,468.55,3019,6.44,493.68,4180,8.47,409,2970,7.26,238,1777,7.47,206,1614,7.83,426,3080,7.23,350,2306,6.59,269,1637,6.09,341,1359,3.99,147,1019,6.93,,,,,,,,,,19,129,6.79,,,,,,
,Winter,,,,,,,,,,677.73,4807.82,7.09,688.64,6394,9.28,859.96,8426,9.8,1038.33,8840,8.51,917,7846,8.56,,,,541,3852,7.12,691,3348,4.85,1090,6999,6.42,485,2136,4.4,598,2965,4.96,633,3215,5.08,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,942.4,7023.11,7.45,1147.73,10303,8.98,1328.51,11445,8.61,1532.01,13020,8.5,1326,10816,8.16,238,1777,7.47,747,5466,7.32,1117,6428,5.75,1440,9305,6.46,754,3773,5,939,4324,4.6,780,4234,5.43,,,0,,,0,,,0,19,129,6.79,,,0,,,0
15. Latehar,Rabi,,,,415.3,3179.95,7.66,441.75,3531.349,7.99,434.64,2904.26,6.68,322.93,2217,6.87,325.52,2649,8.14,219.17,1630,7.44,88,479,5.44,158,799,5.06,740,6039,8.16,605,4188,6.92,733,4578,6.25,659,4859,7.37,816,4437,5.44,882,7757,8.79,,,,,,,,,,774,4150,5.36,,,,,,
,Winter,,,,977.08,7792.21,7.97,772.24,5846.629,7.57,882.09,5553.64,6.3,976.63,6964,7.13,853.48,6424,7.53,858.22,4750,5.53,962,5378,5.59,,,,1351,10393,7.69,1461,11085,7.59,1470,10258,6.98,1422,10095,7.1,1496,9239,6.18,1623,11259,6.94,,,,,,,,,,,,,,,,,,
,Total,,,0,1392.38,10972.16,7.88,1213.99,9377.978,7.72,1316.73,8457.9,6.42,1299.56,9181,7.06,1179,9073,7.7,1077.39,6380,5.92,1050,5857,5.58,158,799,5.06,2091,16432,7.86,2066,15273,7.39,2203,14836,6.73,2081,14954,7.19,2312,13676,5.92,2505,19016,7.59,,,0,,,0,,,0,774,4150,5.36,,,0,,,0
16. Lohardaga,Rabi,,,,,,,,,,655.85,2446.32,3.73,650.28,2690,4.14,675.43,1748,2.59,676.25,1860,2.75,1212,3162,2.61,721,2457,3.41,931,6554,7.04,646,2994,4.63,1776,9376,5.28,1591,9264,5.82,1202,5560,4.63,812,7941,9.78,,,,,,,,,,903,4076,4.51,,,,,,
,Winter,,,,,,,,,,655.85,2742.11,4.18,595.56,2483,4.17,1111.83,4565,4.11,581.34,2788,4.8,827,3352,4.05,,,,1079,5608,5.2,943,5477,5.81,1127,7446,6.61,1394,6900,4.95,1346,6935,5.15,1104,6854,6.21,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,1311.7,5188.43,3.96,1245.84,5173,4.15,1787.26,6313,3.53,1257.59,4648,3.7,2039,6514,3.19,721,2457,3.41,2010,12162,6.05,1589,8471,5.33,2903,16822,5.79,2985,16164,5.42,2548,12495,4.9,1916,14795,7.72,,,0,,,0,,,0,903,4076,4.51,,,0,,,0
17. Pakur,Rabi,,,,,,,,,,,,,88.58,790,8.92,125.06,1014,8.11,127.49,1260,9.88,121,1228,10.15,115,1145,9.96,72,753,10.46,78,782,10.03,110,1981,18.01,80,954,11.93,328,3375,10.29,794,11717,14.76,,,,,,,,,,514,5190,10.1,,,,,,
,Winter,,,,,,,,,,,,,25,216,8.64,45.94,318,6.92,46.69,309,6.62,46,279,6.07,,,,,,,,,,,,,10,92,9.2,7,48,6.86,6,74,12.33,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,113.58,1006,8.86,171,1332,7.79,174.18,1569,9.01,167,1507,9.02,115,1145,9.96,72,753,10.46,78,782,10.03,110,1981,18.01,90,1046,11.62,335,3423,10.22,800,11791,14.74,,,0,,,0,,,0,514,5190,10.1,,,0,,,0
18. Palamu,Rabi,4418.36,33345.36,7.55,565.05,4628.32,8.19,616.42,5007.796,8.12,572.5,2964.41,5.18,641.68,4566,7.12,663.04,4698,7.09,664.47,4172,6.28,429,2848,6.64,645,4512,7,644,4387,6.81,1612,11932,7.4,970,7011,7.23,642,4359,6.79,848,9468,11.17,723,7803,10.79,,,,,,,,,,999,14290,14.3,,,,,,
,Winter,,,,1387.75,10952,7.89,,,,1340.24,8771.87,6.54,1446.99,10641,7.35,1451.31,11059,7.62,1476.92,8915,6.04,1648,9535,5.79,,,,1374,9107,6.63,1479,9723,6.57,1830,13286,7.26,1412,8784,6.22,1343,8826,6.57,2237,16420,7.34,,,,,,,,,,,,,,,,,,
,Total,4418.36,33345.36,7.55,1952.8,15580.32,7.98,616.42,5007.796,8.12,1912.74,11736.28,6.14,2088.67,15207,7.28,2114.35,15757,7.45,2141.39,13087,6.11,2077,12383,5.96,645,4512,7,2018,13494,6.69,3091,21655,7.01,2800,20297,7.25,2054,13143,6.4,2191,18294,8.35,2960,24223,8.18,,,0,,,0,,,0,999,14290,14.3,,,0,,,0
19. Ramgarh,Rabi,,,,,,,,,,,,,,,,,,,751.21,5160,6.87,694,6535,9.42,775,3578,4.62,865,6177,7.14,38,127,3.34,808,4165,5.15,769,3322,4.32,508,4690,9.23,510,6607,12.95,,,,,,,,,,607,2883,4.75,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,1914.36,9451,4.94,1632,13963,8.56,,,,1737,10875,6.26,1314,5223,3.97,1361,7544,5.54,1149,8490,7.39,1243,11577,9.31,448,3910,8.73,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,2665.57,14611,5.48,2326,20498,8.81,775,3578,4.62,2602,17052,6.55,1352,5350,3.96,2169,11709,5.4,1918,11812,6.16,1751,16267,9.29,958,10517,10.98,,,0,,,0,,,0,607,2883,4.75,,,0,,,0
20. Ranchi,Rabi,2665.69,17940.09,6.73,2618.51,17347.63,6.63,2481.14,13351.014,5.38,2531.68,20321.8,8.03,2595.87,26605,10.25,2516.19,8173,3.25,1812.33,7173,3.96,1844,8689,4.71,1776,13402,7.55,1499,10649,7.1,1837,13298,7.24,1851,11541,6.24,1775,11566,6.52,1763,10939,6.2,1825,16208,8.88,,,,,,,,,,995,6064,6.09,,,,,,
,Winter,3178.17,22319.86,7.02,2784.57,45834.02,16.46,3238.03,20629.489,6.37,2657.14,14518.61,5.46,3024.24,18339,6.06,2988.17,18401,6.16,2527.65,10887,4.31,1976,6760,3.42,,,,2106,15999,7.6,3181,12622,3.97,1799,7317,4.07,2017,7824,3.88,1886,7759,4.11,1583,9827,6.21,,,,,,,,,,,,,,,,,,
,Total,5843.86,40259.95,6.89,5403.08,63181.65,11.69,5719.17,33980.503,5.94,5188.82,34840.41,6.71,5620.11,44944,8,5504.36,26574,4.83,4339.98,18060,4.16,3820,15449,4.04,1776,13402,7.55,3605,26648,7.39,5018,25920,5.17,3650,18858,5.17,3792,19390,5.11,3649,18698,5.12,3408,26035,7.64,,,0,,,0,,,0,995,6064,6.09,,,0,,,0
21. Sahebganj,Rabi,,,,,,,,,,,,,83.74,747,8.92,148.42,1837,12.38,95.07,868,9.13,132,1294,9.8,119,1303,10.95,53,491,9.26,91,918,10.09,36,216,6,21,127,6.05,44,388,8.82,5,54,10.8,,,,,,,,,,25,348,13.92,,,,,,
,Winter,,,,,,,,,,,,,6.92,60,8.67,,,,,,,,,,,,,34,308,9.06,2,20,10,18,186,10.33,3,27,9,3,79,26.33,2,25,12.5,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,90.66,807,8.9,148.42,1837,12.38,95.07,868,9.13,132,1294,9.8,119,1303,10.95,87,799,9.18,93,938,10.09,54,402,7.44,24,154,6.42,47,467,9.94,7,79,11.29,,,0,,,0,,,0,25,348,13.92,,,0,,,0
22. Saraikela kharsawan,Rabi,,,,,,,,,,,,,155.22,1260,8.12,155.21,1318,8.49,111.36,87,0.78,113,454,4.02,101,341,3.38,105,476,4.53,122,586,4.8,10,19,1.9,127,256,2.02,82,214,2.61,8,96,12,,,,,,,,,,12,80,6.67,,,,,,
,Winter,,,,,,,,,,,,,35.52,270,7.6,36.06,275,7.63,36.24,235,6.48,37,249,6.73,,,,37,108,2.92,184,493,2.68,172,402,2.34,192,1419,7.39,120,827,6.89,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,190.74,1530,8.02,191.27,1593,8.33,147.6,322,2.18,150,703,4.69,101,341,3.38,142,584,4.11,306,1079,3.53,182,421,2.31,319,1675,5.25,202,1041,5.15,8,96,12,,,0,,,0,,,0,12,80,6.67,,,0,,,0
23. Simdega,Rabi,,,,539.81,2487.44,4.61,,,,,,,559.97,4386,7.83,531.27,3645,6.86,573.95,2967,5.17,552,2329,4.22,528,2107,3.99,454,4818,10.61,329,4107,12.48,348,3201,9.2,320,3850,12.03,297,1842,6.2,499,5434,10.89,,,,,,,,,,440,1437,3.27,,,,,,
,Winter,,,,872.57,4957,5.68,,,,,,,380.85,1816,4.77,379.68,3625,9.55,549.45,3731,6.79,565,2823,5,,,,549,4081,7.43,627,3682,5.87,280,4460,15.93,591,8611,14.57,570,3175,5.57,644,3998,6.21,,,,,,,,,,,,,,,,,,
,Total,,,0,1412.38,7444.44,5.27,,,0,,,0,940.82,6202,6.59,910.95,7270,7.98,1123.4,6698,5.96,1117,5152,4.61,528,2107,3.99,1003,8899,8.87,956,7789,8.15,628,7661,12.2,911,12461,13.68,867,5017,5.79,1143,9432,8.25,,,0,,,0,,,0,440,1437,3.27,,,0,,,0
24. West singhbhum,Rabi,,,,,,,,,,,,,15.88,129,8.12,16.86,105,6.23,44.36,49,1.1,31,115,3.71,35,46,1.31,33,53,1.61,144,199,1.38,105,205,1.95,101,182,1.8,,,,1,13,13,,,,,,,,,,3,40,13.33,,,,,,
,Winter,,,,,,,,,,,,,89.9,684,7.61,9.32,71,7.62,,,,4,27,6.75,,,,,,,25,79,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,105.78,813,7.69,26.18,176,6.72,44.36,49,1.1,35,142,4.06,35,46,1.31,33,53,1.61,169,278,1.64,105,205,1.95,101,182,1.8,,,0,1,13,13,,,0,,,0,,,0,3,40,13.33,,,0,,,0
Total (Potato),,22795.15,165789.76,7.27,22524.41,195303.86,8.67,18677.38,139329.448,7.46,29849.54,222158.6,7.44,34034.98,265653,7.81,36450.21,272309,7.47,37321.65,245662,6.58,38426,262741,6.84,18078,104669,5.79,37916,306761,8.09,39966,284751,7.12,39973,257623,6.44,38547,279680,7.26,38712,255364,6.6,45662,392723,8.6,,,0,,,0,,,0,15076,110137,7.31,,,0,,,0
19. Ragi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bokaro,Autumn,,,,,,,,,,,,,223.28,265,1.19,410.65,361,0.88,2166.16,1547,0.71,2140,1312,0.61,,,,137,177,1.29,129,111,0.86,116,88,0.76,74,68,0.92,56,69,1.23,121,74,0.61,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,625,2.2,205,451,2.2,245,539,2.2,265,583,2.2
,Total,,,0,,,0,,,0,,,0,223.28,265,1.19,410.65,361,0.88,2166.16,1547,0.71,2140,1312,0.61,,,0,137,177,1.29,129,111,0.86,116,88,0.76,74,68,0.92,56,69,1.23,121,74,0.61,,,0,,,0,284,625,2.2,205,451,2.2,245,539,2.2,265,583,2.2
2. Chatra,Autumn,,,,,,,,,,,,,240.39,213,0.89,310.21,304,0.98,367.47,300,0.82,353,216,0.61,,,,180,152,0.84,169,121,0.72,151,114,0.75,155,143,0.92,155,70,0.45,130,79,0.61,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,107,1.43,104,149,1.43,732,1069,1.46,1020,1494,1.46,1011,1481,1.46,,,
,Total,,,0,,,0,,,0,,,0,240.39,213,0.89,310.21,304,0.98,367.47,300,0.82,353,216,0.61,,,0,180,152,0.84,169,121,0.72,151,114,0.75,155,143,0.92,155,70,0.45,130,79,0.61,75,107,1.43,104,149,1.43,732,1069,1.46,1020,1494,1.46,1011,1481,1.46,,,0
3. Deoghar,Autumn,,,,,,,,,,,,,55.98,44,0.79,19.72,11,0.56,22.51,17,0.76,22,6,0.27,,,,,,,9,8,0.89,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,18,0.51,21,38,1.81,23,18,0.78,23,18,0.78
,Total,,,0,,,0,,,0,,,0,55.98,44,0.79,19.72,11,0.56,22.51,17,0.76,22,6,0.27,,,0,,,0,9,8,0.89,,,0,1,1,1,,,0,,,0,,,0,,,0,35,18,0.51,21,38,1.81,23,18,0.78,23,18,0.78
4. Dhanbad,Autumn,,,,,,,,,,,,,37.59,45,1.2,16.49,4,0.24,11.03,3,0.27,12,1,0.08,,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,201,0.69,35,21,0.6,31,22,0.71,33,23,0.7,32,22,0.69,65,39,0.6
,Total,,,0,,,0,,,0,,,0,37.59,45,1.2,16.49,4,0.24,11.03,3,0.27,12,1,0.08,,,0,2,,0,,,0,,,0,,,0,,,0,,,0,292,201,0.69,35,21,0.6,31,22,0.71,33,23,0.7,32,22,0.69,65,39,0.6
5. Dumka,Autumn,,,,,,,,,,,,,102.85,81,0.79,93.83,51,0.54,83.36,63,0.76,55,15,0.27,,,,9,7,0.78,,,,6,5,0.83,6,6,1,7,5,0.71,25,29,1.16,,,,,,,,,,,,,,,,,,
