State/Crop/District,Season,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,30.96,50.93,1.65,1.29,2,1.55,32.97,55,1.67,14.34,25,1.74,57,100,1.75,264,376,1.42,73,126,1.73,124,188,1.52,88,141,1.6,110,200,1.82,109,168,1.54,70,89,1.27,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,530.31,889,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,30.96,50.93,1.65,1.29,2,1.55,32.97,55,1.67,544.65,914,1.68,57,100,1.75,264,376,1.42,73,126,1.73,124,188,1.52,88,141,1.6,110,200,1.82,109,168,1.54,70,89,1.27,6480,9882,1.53,7269,9886,1.36,7631,10500,1.38,8040,11296,1.4,8040,11352,1.41,5165,7386,1.43
9. Godda,Kharif,,,,1128.04,2125.23,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,1168,1,5089,5038,0.99,5432,5160,0.95,6500,6370,0.98,9000,7110,0.79,6776,5082,0.75
,Rabi,885.27,1451.84,1.64,,,,986,1797.48,1.82,769.2,863.81,1.12,865.42,1767,2.04,732.77,1170,1.6,733.15,1099,1.5,644,642,1,600,1117,1.86,504,894,1.77,202,378,1.87,201,326,1.62,158,287,1.82,194,320,1.65,815,1520,1.87,,,,,,,,,,,,,,,,,,
,Total,885.27,1451.84,1.64,1128.04,2125.23,1.88,986,1797.48,1.82,769.2,863.81,1.12,865.42,1767,2.04,732.77,1170,1.6,733.15,1099,1.5,644,642,1,600,1117,1.86,504,894,1.77,202,378,1.87,201,326,1.62,158,287,1.82,194,320,1.65,815,1520,1.87,1168,1168,1,5089,5038,0.99,5432,5160,0.95,6500,6370,0.98,9000,7110,0.79,6776,5082,0.75
10. Gumla,Kharif,,,,1003.33,1346.47,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11569,18325,1.58,12730,19884,1.56,8908,12560,1.41,16000,22560,1.41,15784,22255,1.41,15367,21053,1.37
,Rabi,847.31,822.73,0.97,,,,726.85,833.7,1.15,726.85,564.04,0.78,331.44,377,1.14,801.01,1150,1.44,756.58,1195,1.58,787,600,0.76,720,598,0.83,721,844,1.17,826,1165,1.41,819,851,1.04,827,1226,1.48,772,1246,1.61,181,187,1.03,,,,,,,,,,,,,,,,,,
,Total,847.31,822.73,0.97,1003.33,1346.47,1.34,726.85,833.7,1.15,726.85,564.04,0.78,331.44,377,1.14,801.01,1150,1.44,756.58,1195,1.58,787,600,0.76,720,598,0.83,721,844,1.17,826,1165,1.41,819,851,1.04,827,1226,1.48,772,1246,1.61,181,187,1.03,11569,18325,1.58,12730,19884,1.56,8908,12560,1.41,16000,22560,1.41,15784,22255,1.41,15367,21053,1.37
11. Hazaribagh,Kharif,,,,574.74,908.09,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7970,9564,1.2,6706,8047,1.2,6812,8174,1.2,7880,7565,0.96,8317,8483,1.02,5621,5733,1.02
,Rabi,708.12,1663.44,2.35,,,,739.16,960.17,1.3,30.96,50.43,1.63,319.59,577,1.81,559.68,669,1.2,318.38,507,1.59,812,885,1.09,303,508,1.68,313,629,2.01,544,930,1.71,410,887,2.16,395,694,1.76,275,414,1.51,461,587,1.27,,,,,,,,,,,,,,,,,,
,Total,708.12,1663.44,2.35,574.74,908.09,1.58,739.16,960.17,1.3,30.96,50.43,1.63,319.59,577,1.81,559.68,669,1.2,318.38,507,1.59,812,885,1.09,303,508,1.68,313,629,2.01,544,930,1.71,410,887,2.16,395,694,1.76,275,414,1.51,461,587,1.27,7970,9564,1.2,6706,8047,1.2,6812,8174,1.2,7880,7565,0.96,8317,8483,1.02,5621,5733,1.02
12. Jamtara,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,478,1.31,203,162,0.8,851,894,1.05,510,638,1.25,4004,5205,1.3,3705,5187,1.4
,Rabi,,,,,,,,,,,,,14.2,23,1.62,23.28,34,1.46,40.56,54,1.33,38,34,0.89,140,177,1.26,40,29,0.73,43,29,0.67,36,24,0.67,23,13,0.57,30,20,0.67,25,19,0.76,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,2.83,3,1.06,3,2,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,14.2,23,1.62,23.28,34,1.46,43.39,57,1.31,41,36,0.88,140,177,1.26,40,29,0.73,43,29,0.67,36,24,0.67,23,13,0.57,30,20,0.67,25,19,0.76,365,478,1.31,203,162,0.8,851,894,1.05,510,638,1.25,4004,5205,1.3,3705,5187,1.4
13. Khunti,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120,7156,1.01,6422,2774,0.43,4911,3929,0.8,11095,11650,1.05,9500,9975,1.05,7333,6086,0.83
,Rabi,,,,,,,,,,,,,,,,,,,704.37,904,1.28,497,775,1.56,443,558,1.26,631,762,1.21,598,841,1.41,604,651,1.08,560,958,1.71,416,454,1.09,373,489,1.31,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,704.37,904,1.28,497,775,1.56,443,558,1.26,631,762,1.21,598,841,1.41,604,651,1.08,560,958,1.71,416,454,1.09,373,489,1.31,7120,7156,1.01,6422,2774,0.43,4911,3929,0.8,11095,11650,1.05,9500,9975,1.05,7333,6086,0.83
14. Koderma,Kharif,,,,277.02,460.13,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,5280,0.8,6802,6802,1,6405,5124,0.8,6405,7686,1.2,6900,8280,1.2,7220,8664,1.2
,Rabi,245.56,453.3,1.85,,,,256.69,588.33,2.29,261.79,283.52,1.08,344.39,682,1.98,277.56,446,1.61,263.07,411,1.56,218,347,1.59,64,99,1.55,173,269,1.55,330,318,0.96,489,2136,4.37,142,241,1.7,178,325,1.83,245,238,0.97,,,,,,,,,,,,,,,,,,
,Total,245.56,453.3,1.85,277.02,460.13,1.66,256.69,588.33,2.29,261.79,283.52,1.08,344.39,682,1.98,277.56,446,1.61,263.07,411,1.56,218,347,1.59,64,99,1.55,173,269,1.55,330,318,0.96,489,2136,4.37,142,241,1.7,178,325,1.83,245,238,0.97,6600,5280,0.8,6802,6802,1,6405,5124,0.8,6405,7686,1.2,6900,8280,1.2,7220,8664,1.2
15. Latehar,Kharif,,,,3094.4,4446.65,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22917,35109,1.53,24549,37609,1.53,23586,36676,1.55,25422,39557,1.56,26366,40920,1.55,25166,39058,1.55
,Rabi,,,,,,,3103.55,4348.07,1.4,,,,2657.21,3462,1.3,2660.57,4227,1.59,2437.28,3785,1.55,2438,9506,3.9,960,1134,1.18,2028,3999,1.97,2079,4067,1.96,1816,2068,1.14,1383,1700,1.23,1709,1588,0.93,1871,3145,1.68,,,,,,,,,,,,,,,,,,
,Total,,,0,3094.4,4446.65,1.44,3103.55,4348.07,1.4,,,0,2657.21,3462,1.3,2660.57,4227,1.59,2437.28,3785,1.55,2438,9506,3.9,960,1134,1.18,2028,3999,1.97,2079,4067,1.96,1816,2068,1.14,1383,1700,1.23,1709,1588,0.93,1871,3145,1.68,22917,35109,1.53,24549,37609,1.53,23586,36676,1.55,25422,39557,1.56,26366,40920,1.55,25166,39058,1.55
16. Lohardaga,Kharif,,,,577.39,1082.61,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6951,7299,1.05,5686,5970,1.05,5534,5811,1.05,5215,5476,1.05,5000,5000,1,4050,4253,1.05
,Rabi,573.97,858.65,1.5,,,,567.88,792.76,1.4,567.88,596.84,1.05,594.35,1268,2.13,595.51,1113,1.87,596.16,982,1.65,410,690,1.68,409,622,1.52,360,604,1.68,423,622,1.47,614,828,1.35,498,477,0.96,461,571,1.24,341,495,1.45,,,,,,,,,,,,,,,,,,
,Total,573.97,858.65,1.5,577.39,1082.61,1.88,567.88,792.76,1.4,567.88,596.84,1.05,594.35,1268,2.13,595.51,1113,1.87,596.16,982,1.65,410,690,1.68,409,622,1.52,360,604,1.68,423,622,1.47,614,828,1.35,498,477,0.96,461,571,1.24,341,495,1.45,6951,7299,1.05,5686,5970,1.05,5534,5811,1.05,5215,5476,1.05,5000,5000,1,4050,4253,1.05
17. Pakur,Kharif,,,,440.01,550.45,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8084,6265,0.77,8001,5161,0.65,7650,5929,0.78,8849,6858,0.78,7462,5783,0.77,4938,2469,0.5
,Rabi,336.22,444.14,1.32,,,,420.74,575.57,1.37,407.91,721.18,1.77,388.06,598,1.54,360.81,578,1.6,365.41,545,1.49,360,121,0.34,375,488,1.3,310,437,1.41,275,391,1.42,265,334,1.26,222,335,1.51,368,739,2.01,532,992,1.86,,,,,,,,,,,,,,,,,,
,Total,336.22,444.14,1.32,440.01,550.45,1.25,420.74,575.57,1.37,407.91,721.18,1.77,388.06,598,1.54,360.81,578,1.6,365.41,545,1.49,360,121,0.34,375,488,1.3,310,437,1.41,275,391,1.42,265,334,1.26,222,335,1.51,368,739,2.01,532,992,1.86,8084,6265,0.77,8001,5161,0.65,7650,5929,0.78,8849,6858,0.78,7462,5783,0.77,4938,2469,0.5
18. Palamu,Kharif,,,,5974.02,8076.88,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30502,27574,0.9,22022,14424,0.65,32844,30381,0.93,30412,33605,1.1,30086,32974,1.1,22373,24700,1.1
,Rabi,6184.65,9097.62,1.47,,,,5516.25,7772.4,1.41,4080.58,5912.76,1.45,5492.39,6091,1.11,5553.1,7619,1.37,5301.03,7315,1.38,3333,4586,1.38,4826,6838,1.42,4743,9619,2.03,5462,11498,2.11,26220,35528,1.35,21566,21480,1,16483,16879,1.02,27752,60666,2.19,,,,,,,,,,,,,,,,,,
,Total,6184.65,9097.62,1.47,5974.02,8076.88,1.35,5516.25,7772.4,1.41,4080.58,5912.76,1.45,5492.39,6091,1.11,5553.1,7619,1.37,5301.03,7315,1.38,3333,4586,1.38,4826,6838,1.42,4743,9619,2.03,5462,11498,2.11,26220,35528,1.35,21566,21480,1,16483,16879,1.02,27752,60666,2.19,30502,27574,0.9,22022,14424,0.65,32844,30381,0.93,30412,33605,1.1,30086,32974,1.1,22373,24700,1.1
19. Ramgarh,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,7224,1.2,4909,5891,1.2,4861,5833,1.2,5675,5845,1.03,6555,7538,1.15,4621,5152,1.11
,Rabi,,,,,,,,,,,,,,,,,,,11.35,16,1.41,113,189,1.67,127,241,1.9,110,164,1.49,109,152,1.39,149,285,1.91,708,1639,2.31,29,41,1.41,23,29,1.26,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,11.35,16,1.41,113,189,1.67,127,241,1.9,110,164,1.49,109,152,1.39,149,285,1.91,708,1639,2.31,29,41,1.41,23,29,1.26,6020,7224,1.2,4909,5891,1.2,4861,5833,1.2,5675,5845,1.03,6555,7538,1.15,4621,5152,1.11
20. Ranchi,Kharif,,,,1947.58,3696.51,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14028,11222,0.8,11631,9770,0.84,12001,10801,0.9,13275,11948,0.9,13281,11953,0.9,11565,10409,0.9
,Rabi,1786.54,4182.29,2.34,,,,1596.69,2578.65,1.61,1552.59,2870.74,1.85,1471.41,1168,0.79,1458.47,2736,1.88,916.44,1793,1.96,1279,2036,1.59,895,1040,1.16,651,1294,1.99,1090,2688,2.47,1121,2917,2.6,1030,2496,2.42,919,1828,1.99,861,1358,1.58,,,,,,,,,,,,,,,,,,
,Total,1786.54,4182.29,2.34,1947.58,3696.51,1.9,1596.69,2578.65,1.61,1552.59,2870.74,1.85,1471.41,1168,0.79,1458.47,2736,1.88,916.44,1793,1.96,1279,2036,1.59,895,1040,1.16,651,1294,1.99,1090,2688,2.47,1121,2917,2.6,1030,2496,2.42,919,1828,1.99,861,1358,1.58,14028,11222,0.8,11631,9770,0.84,12001,10801,0.9,13275,11948,0.9,13281,11953,0.9,11565,10409,0.9
21. Sahebganj,Kharif,,,,271.27,449.77,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8945,3972,0.44,6825,3030,0.44,7012,3611,0.51,7120,3667,0.52,9210,4743,0.51,654,337,0.52
,Rabi,,,,,,,305.04,626.25,2.05,242.76,231.84,0.96,275.33,295,1.07,293.61,345,1.18,281.75,291,1.03,247,306,1.24,265,447,1.69,273,568,2.08,381,577,1.51,336,468,1.39,114,162,1.42,339,317,0.94,359,670,1.87,,,,,,,,,,,,,,,,,,
,Total,,,0,271.27,449.77,1.66,305.04,626.25,2.05,242.76,231.84,0.96,275.33,295,1.07,293.61,345,1.18,281.75,291,1.03,247,306,1.24,265,447,1.69,273,568,2.08,381,577,1.51,336,468,1.39,114,162,1.42,339,317,0.94,359,670,1.87,8945,3972,0.44,6825,3030,0.44,7012,3611,0.51,7120,3667,0.52,9210,4743,0.51,654,337,0.52
22. Saraikela kharsawan,Kharif,,,,95.63,79.95,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9654,15446,1.6,10080,12096,1.2,7811,8983,1.15,7957,9548,1.2,9240,11088,1.2,10687,12824,1.2
,Rabi,,,,,,,96.16,164.43,1.71,,,,98.06,136,1.39,98.64,191,1.94,89.19,137,1.54,91,64,0.7,76,101,1.33,59,73,1.24,87,126,1.45,89,8,0.09,84,153,1.82,13,19,1.46,11,17,1.55,,,,,,,,,,,,,,,,,,
,Total,,,0,95.63,79.95,0.84,96.16,164.43,1.71,,,0,98.06,136,1.39,98.64,191,1.94,89.19,137,1.54,91,64,0.7,76,101,1.33,59,73,1.24,87,126,1.45,89,8,0.09,84,153,1.82,13,19,1.46,11,17,1.55,9654,15446,1.6,10080,12096,1.2,7811,8983,1.15,7957,9548,1.2,9240,11088,1.2,10687,12824,1.2
