State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,1378,1013,0.74,1888,1833,0.97,2200,2136,0.97,1387,1223,0.88,1374,1168,0.85,1354,1476,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,618,0.81,,,,698,593,0.85,,,,,,
Total (Other Kharif pulses),,1378,1013,0.74,1888,1833,0.97,2200,2136,0.97,1387,1223,0.88,1374,1168,0.85,1354,1476,1.09,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,759,618,0.81,,,0,698,593,0.85,,,0,,,0
12. Ragi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,1405,1909,1.36,1394,1538,1.1,1375,1873,1.36,1684,1873,1.11,1634,2330,1.43,1658,3628,2.19,1345,1399,1.04,1500,2100,1.4,1500,2100,1.4,1300,1400,1.08,1289,2120,1.64,1212,1248,1.03,1040,1071,1.03,1010,1040,1.03,1030,1060,1.03,1010,1035,1.02,860,1462,1.7,1135,1180,1.04,890,1513,1.7,900,1485,1.65
Total (Ragi),,1405,1909,1.36,1394,1538,1.1,1375,1873,1.36,1684,1873,1.11,1634,2330,1.43,1658,3628,2.19,1345,1399,1.04,1500,2100,1.4,1500,2100,1.4,1300,1400,1.08,1289,2120,1.64,1212,1248,1.03,1040,1071,1.03,1010,1040,1.03,1030,1060,1.03,1010,1035,1.02,860,1462,1.7,1135,1180,1.04,890,1513,1.7,900,1485,1.65
13. Rapeseed &Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,0.91,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.5,0.5,12,10,0.83,5,2.5,0.5,5,2.5,0.5
,Winter,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,1,1,1,1,1,1,2,2,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,11,10,0.91,5,2.5,0.5,12,10,0.83,5,2.5,0.5,5,2.5,0.5
Total (Rapeseed &Mustard),,,,0,,,0,,,0,,,0,1,1,1,1,1,1,2,2,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,11,10,0.91,5,2.5,0.5,12,10,0.83,5,2.5,0.5,5,2.5,0.5
14. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,13668,25299,1.85,13493,30197,2.24,13301,37482,2.82,13314,26761,2.01,13334,27788,2.08,12903,32296,2.5,12902,28565,2.21,13600,23700,1.74,13600,23400,1.72,12500,13500,1.08,10220,19653,1.92,10316,18156,1.76,13490,26036,1.93,13255,24866,1.88,13490,25181,1.87,13918,28763,2.07,14233,31312,2.2,13817,28659,2.07,14250,30874.6,2.17,13450,27796,2.07
,Rabi,1550,3364,2.17,386,838,2.17,382,839,2.2,583,1172,2.01,653,1383,2.12,657,1347,2.05,2500,5950,2.38,,,,,,,,,,580,1186,2.04,349,396,1.13,344,668,1.94,325,631,1.94,376,726,1.93,419,835,1.99,150,525,3.5,409,799,1.95,3350,8486,2.53,3350,8486,2.53
,Total,15218,28663,1.88,13879,31035,2.24,13683,38321,2.8,13897,27933,2.01,13987,29171,2.09,13560,33643,2.48,15402,34515,2.24,13600,23700,1.74,13600,23400,1.72,12500,13500,1.08,10800,20839,1.93,10665,18552,1.74,13834,26704,1.93,13580,25497,1.88,13866,25907,1.87,14337,29598,2.06,14383,31837,2.21,14226,29458,2.07,17600,39360.6,2.24,16800,36282,2.16
Total (Rice),,15218,28663,1.88,13879,31035,2.24,13683,38321,2.8,13897,27933,2.01,13987,29171,2.09,13560,33643,2.48,15402,34515,2.24,13600,23700,1.74,13600,23400,1.72,12500,13500,1.08,10800,20839,1.93,10665,18552,1.74,13834,26704,1.93,13580,25497,1.88,13866,25907,1.87,14337,29598,2.06,14383,31837,2.21,14226,29458,2.07,17600,39360.6,2.24,16800,36282,2.16
15. Sannhamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,29,17,0.59,10,6,0.6,24,14,0.58,12,7,0.58,67,40,0.6,60,36,0.6,57,34,0.6,,,,,,,,,,104,62,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,112,0.7,124,90,0.73,100,73,0.73,,,,,,,,,,,,,,,,,,,,,
,Total,29,17,0.59,10,6,0.6,24,14,0.58,12,7,0.58,67,40,0.6,60,36,0.6,57,34,0.6,,,0,,,0,,,0,264,174,0.66,124,90,0.73,100,73,0.73,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Total (Sannhamp),,29,17,0.59,10,6,0.6,24,14,0.58,12,7,0.58,67,40,0.6,60,36,0.6,57,34,0.6,,,0,,,0,,,0,264,174,0.66,124,90,0.73,100,73,0.73,,,0,,,0,,,0,,,0,,,0,,,0,,,0
16. Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.5,0.25,,,,6,1.5,0.25,6,1.5,0.25
,Winter,,,,,,,,,,,,,,,,30,30,1,33,33,1,,,,,,,,,,39,39,1,39,39,1,39,39,1,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,30,30,1,33,33,1,,,0,,,0,,,0,39,39,1,39,39,1,39,39,1,,,0,,,0,,,0,6,1.5,0.25,,,0,6,1.5,0.25,6,1.5,0.25
Total (Sesamum),,,,0,,,0,,,0,,,0,,,0,30,30,1,33,33,1,,,0,,,0,,,0,39,39,1,39,39,1,39,39,1,,,0,,,0,,,0,6,1.5,0.25,,,0,6,1.5,0.25,6,1.5,0.25
17. Small millets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,265,162,0.61,185,215,1.16,193,224,1.16,250,220,0.88,296,260,0.88,207,191,0.92,178,193,1.08,200,200,1,200,200,1,200,100,0.5,80,80,1,82,78,0.95,231,219,0.95,231,219,0.95,215,203,0.94,160,128,0.8,,,,154,115,0.75,,,,,,
Total (Small millets),,265,162,0.61,185,215,1.16,193,224,1.16,250,220,0.88,296,260,0.88,207,191,0.92,178,193,1.08,200,200,1,200,200,1,200,100,0.5,80,80,1,82,78,0.95,231,219,0.95,231,219,0.95,215,203,0.94,160,128,0.8,,,0,154,115,0.75,,,0,,,0
18. Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,13600,80,,,,150,12000,80,150,12000,80
,Winter,1422,92430,65,1273,89110,70,1537,122960,80,1285,96375,75,1511,120880,80,1531,122480,80,1167,93360,80,,,,,,,,,,410,32800,80,665,53200,80,662,52960,80,,,,,,,540,51300,95,,,,578,52890,91.51,,,,,,
,Total,1422,92430,65,1273,89110,70,1537,122960,80,1285,96375,75,1511,120880,80,1531,122480,80,1167,93360,80,,,0,,,0,,,0,410,32800,80,665,53200,80,662,52960,80,,,0,,,0,540,51300,95,170,13600,80,578,52890,91.51,150,12000,80,150,12000,80
Total (Sugarcane),,1422,92430,65,1273,89110,70,1537,122960,80,1285,96375,75,1511,120880,80,1531,122480,80,1167,93360,80,,,0,,,0,,,0,410,32800,80,665,53200,80,662,52960,80,,,0,,,0,540,51300,95,170,13600,80,578,52890,91.51,150,12000,80,150,12000,80
19. Urad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,,,,,,,,,,,,,1333,1833,1.38,1600,1500,0.94,1600,1500,0.94,1000,800,0.8,1430,1144,0.8,1373,1098,0.8,1378,1102,0.8,,,,,,,1127,1075,0.95,990,990,1,1015,985,0.97,950,950,1,900,640,0.71
Total (Urad),,,,0,,,0,,,0,,,0,,,0,,,0,1333,1833,1.38,1600,1500,0.94,1600,1500,0.94,1000,800,0.8,1430,1144,0.8,1373,1098,0.8,1378,1102,0.8,,,0,,,0,1127,1075,0.95,990,990,1,1015,985,0.97,950,950,1,900,640,0.71
20. Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,92,2.3,,,,,,,50,120,2.4
,Winter,710,1500,2.11,735,1441,1.96,750,1470,1.96,750,1470,1.96,750,1470,1.96,750,1500,2,750,1550,2.07,600,1100,1.83,600,1100,1.83,700,1000,1.43,130,290,2.23,137,274,2,131,262,2,131,262,2,139,289,2.08,141,302,2.14,,,,139,309,2.22,,,,,,
,Total,710,1500,2.11,735,1441,1.96,750,1470,1.96,750,1470,1.96,750,1470,1.96,750,1500,2,750,1550,2.07,600,1100,1.83,600,1100,1.83,700,1000,1.43,130,290,2.23,137,274,2,131,262,2,131,262,2,139,289,2.08,141,302,2.14,40,92,2.3,139,309,2.22,,,0,50,120,2.4
Total (Wheat),,710,1500,2.11,735,1441,1.96,750,1470,1.96,750,1470,1.96,750,1470,1.96,750,1500,2,750,1550,2.07,600,1100,1.83,600,1100,1.83,700,1000,1.43,130,290,2.23,137,274,2,131,262,2,131,262,2,139,289,2.08,141,302,2.14,40,92,2.3,139,309,2.22,,,0,50,120,2.4
